city,price_USD,name,engine_size,URL,colour,kilometrage,drive,body_type,year,region,price_UAH,model,gearbox,fuel_type,make
,15000,HYUNDAI Santa Fe,2.7,http://rst.ua/oldcars/hyundai/santafe/hyundai_santafe_5063501.html,,93000,4WD,,2007,,349100,,Automatic,LPG/Petrol,
,6150,CHEVROLET Aveo,1.5,http://rst.ua/oldcars/chevrolet/aveo/chevrolet_aveo_5103458.html,,132000,4WD,,2007,,143100,,Automatic,Petrol,
,4900,ВАЗ Приора,1.6,http://rst.ua/oldcars/vaz/priora/vaz_priora_5102764.html,,120000,4WD,,2007,,114100,,Manual,Petrol,
,3400,ВАЗ 2112,1.6,http://rst.ua/oldcars/vaz/2112/vaz_2112_5101383.html,,138000,4WD,,2006,,79200,,Manual,Petrol,
,10250,AUDI A8,4.2,http://rst.ua/oldcars/audi/a8/audi_a8_3879534.html,,250000,4WD,,2000,,238500,,Automatic,Petrol,
,5900,BMW 5-series,2.5,http://rst.ua/oldcars/bmw/5-series/bmw_5-series_5122253.html,,211000,4WD,,1996,,137300,,Manual,Petrol,
,925,ВАЗ 2102,1.5,http://rst.ua/oldcars/vaz/2102/vaz_2102_5120418.html,,137000,4WD,,1978,,21600,,Automatic,Petrol,
,25999,TOYOTA Camry,3.5,http://rst.ua/oldcars/toyota/camry/toyota_camry_5118949.html,,78000,4WD,,2012,,605000,,Automatic,Petrol,
,2800,ВАЗ 2109,1.5,http://rst.ua/oldcars/vaz/2109/vaz_2109_5118749.html,,248400,4WD,,2002,,65200,,Manual,LPG/Petrol,
,8950,SKODA Fabia,1.4,http://rst.ua/oldcars/skoda/fabia/skoda_fabia_5027020.html,,87000,4WD,,2010,,208300,,Manual,Diesel,
,6700,FIAT Doblo,1.3,http://rst.ua/oldcars/fiat/doblo/fiat_doblo_4140023.html,,165000,4WD,,2010,,155900,,Manual,Diesel,
,13900,TOYOTA Camry,3.5,http://rst.ua/oldcars/toyota/camry/toyota_camry_5103555.html,,144000,4WD,,2007,,323500,,Automatic,LPG/Petrol,
,9500,MAZDA 6,2.3,http://rst.ua/oldcars/mazda/6/mazda_6_5073236.html,,83000,4WD,,2006,,221100,,Automatic,Petrol,
,10400,CHEVROLET Cruze,1.8,http://rst.ua/oldcars/chevrolet/cruze/chevrolet_cruze_5041556.html,,97000,4WD,,2010,,242000,,Automatic,Petrol,
,7500,NISSAN Maxima,2.0,http://rst.ua/oldcars/nissan/maxima/nissan_maxima_5122453.html,,110000,4WD,,2004,,174600,,Automatic,Petrol,
,12000,RENAULT Scenic,1.5,http://rst.ua/oldcars/renault/scenic/renault_scenic_4379586.html,,169000,4WD,,2010,,279300,,Manual,Diesel,
,2700,ВАЗ 2109,1.5,http://rst.ua/oldcars/vaz/2109/vaz_2109_5122292.html,,6000,4WD,,1991,,62900,,Manual,LPG/Petrol,
,2700,OPEL Omega,2.0,http://rst.ua/oldcars/opel/omega/opel_omega_5067738.html,,200000,4WD,,1987,,62900,,Manual,Petrol,
,6800,RENAULT Trafic,1.9,http://rst.ua/oldcars/renault/trafic/renault_trafic_4859164.html,,220000,4WD,,2003,,158300,,Manual,Diesel,
,5800,KIA Rio,1.4,http://rst.ua/oldcars/kia/rio/kia_rio_5010863.html,,5000,4WD,,2013,,135000,,Manual,Petrol,
,30500,AUDI A5,2.0,http://rst.ua/oldcars/audi/a5/audi_a5_5120125.html,,94000,4WD,,2012,,709700,,Automatic,Petrol,
,14400,OPEL Vivaro,2.5,http://rst.ua/oldcars/opel/vivaro/opel_vivaro_4982887.html,,152000,4WD,,2008,,335100,,Manual,Diesel,
,1600,ВАЗ 2103,1.5,http://rst.ua/oldcars/vaz/2103/vaz_2103_5120041.html,,2000,4WD,,1982,,37300,,Manual,Petrol,
,4000,CHERY Kimo,1.3,http://rst.ua/oldcars/chery/kimo/chery_kimo_5121496.html,,66000,4WD,,2008,,93100,,Automatic,Petrol,
,6800,FORD Transit,2.0,http://rst.ua/oldcars/ford/transit/ford_transit_5071179.html,,190000,4WD,,2005,,158300,,Automatic,Diesel,
,11200,HYUNDAI Accent,1.4,http://rst.ua/oldcars/hyundai/accent/hyundai_accent_5121476.html,,62000,4WD,,2012,,260600,,Manual,Petrol,
,8000,VOLKSWAGEN Transporter,2.5,http://rst.ua/oldcars/volkswagen/transporter/volkswagen_transporter_4930010.html,,260000,4WD,,2003,,186200,,Manual,Diesel,
,9250,RENAULT Trafic,2.5,http://rst.ua/oldcars/renault/trafic/renault_trafic_3931443.html,,250000,4WD,,2006,,215300,,Manual,Diesel,
,6700,ГАЗ Газель,2.5,http://rst.ua/oldcars/gaz/gazel/gaz_gazel_5021925.html,,93000,4WD,,2008,,155900,,Manual,LPG/Petrol,
,6900,OPEL Omega,2.2,http://rst.ua/oldcars/opel/omega/opel_omega_4902780.html,,280000,4WD,,2001,,160600,,Manual,LPG/Petrol,
,8600,MITSUBISHI Lancer,1.5,http://rst.ua/oldcars/mitsubishi/lancer/mitsubishi_lancer_4978881.html,,0,4WD,,2008,,200100,,Automatic,Petrol,
,5900,OPEL Omega,2.5,http://rst.ua/oldcars/opel/omega/opel_omega_5119761.html,,218000,4WD,,1999,,137300,,Automatic,LPG/Petrol,
,3700,AUDI 80,1.8,http://rst.ua/oldcars/audi/80/audi_80_5119732.html,,111000,4WD,,1991,,86100,,Manual,LPG/Petrol,
,4500,VOLKSWAGEN Golf,2.0,http://rst.ua/oldcars/volkswagen/golf/volkswagen_golf_4969016.html,,210000,4WD,,1986,,104800,,Manual,Petrol,
,9700,RENAULT Kangoo,1.5,http://rst.ua/oldcars/renault/kangoo/renault_kangoo_4405471.html,,147000,4WD,,2011,,225700,,Manual,Diesel,
,3550,ВАЗ 21099,1.6,http://rst.ua/oldcars/vaz/21099/vaz_21099_5119475.html,,92000,4WD,,2007,,82600,,Manual,LPG/Petrol,
,7150,RENAULT Megane,1.5,http://rst.ua/oldcars/renault/megane/renault_megane_5070918.html,,174000,4WD,,2005,,166400,,Automatic,Diesel,
,3900,DAEWOO Lanos,1.4,http://rst.ua/oldcars/daewoo/lanos/daewoo_lanos_5101942.html,,116000,4WD,,2007,,90800,,Manual,LPG/Petrol,
,12200,AUDI A8,2.5,http://rst.ua/oldcars/audi/a8/audi_a8_5121990.html,,195000,4WD,,2002,,283900,,Automatic,Diesel,
,1000,ВАЗ 2105,1.3,http://rst.ua/oldcars/vaz/2105/vaz_2105_4637154.html,,49853,4WD,,1990,,23300,,Manual,Petrol,
,6400,RENAULT Megane,1.6,http://rst.ua/oldcars/renault/megane/renault_megane_5004779.html,,122000,4WD,,2005,,149000,,Automatic,Petrol,
,12700,VOLKSWAGEN Passat,2.0,http://rst.ua/oldcars/volkswagen/passat/volkswagen_passat_4966380.html,,170000,4WD,,2007,,295500,,Manual,Petrol,
,1900,FORD Escort,1.3,http://rst.ua/oldcars/ford/escort/ford_escort_5101409.html,,250000,4WD,,1988,,44300,,Manual,Petrol,
,8800,FORD Focus,1.6,http://rst.ua/oldcars/ford/focus/ford_focus_5120479.html,,106000,4WD,,2009,,204800,,Manual,LPG/Petrol,
,7799,MERCEDES E-Class,3.2,http://rst.ua/oldcars/mercedes/e-class/mercedes_e-class_4968169.html,,265000,4WD,,1998,,181500,,Automatic,LPG/Petrol,
,13000,MERCEDES Sprinter,2.9,http://rst.ua/oldcars/mercedes/sprinter/mercedes_sprinter_5124450.html,,630000,4WD,,1999,,302500,,Manual,Diesel,
,3800,ВАЗ Нива,1.7,http://rst.ua/oldcars/vaz/niva/vaz_niva_5070854.html,,90000,4WD,,1999,,88500,,Manual,Petrol,
,10000,FORD Mondeo,2.0,http://rst.ua/oldcars/ford/mondeo/ford_mondeo_4011532.html,,170000,4WD,,2004,,232700,,Manual,LPG/Petrol,
,11500,OPEL Vivaro,2.0,http://rst.ua/oldcars/opel/vivaro/opel_vivaro_4624890.html,,168000,4WD,,2008,,267600,,Manual,Diesel,
,1500,ВАЗ Нива,1.7,http://rst.ua/oldcars/vaz/niva/vaz_niva_5057567.html,,75000,4WD,,1979,,35000,,Manual,Petrol,
,6800,OPEL Zafira,2.2,http://rst.ua/oldcars/opel/zafira/opel_zafira_5062724.html,,154000,4WD,,2005,,158300,,Manual,Petrol,
,26900,LEXUS GX,4.7,http://rst.ua/oldcars/lexus/gx/lexus_gx_5108740.html,,156000,4WD,,2007,,625900,,Automatic,LPG/Petrol,
,2500,AUDI 100,2.3,http://rst.ua/oldcars/audi/100/audi_100_5093899.html,,100000,4WD,,1985,,58200,,Manual,LPG/Petrol,
,15000,BMW 5-series,3.0,http://rst.ua/oldcars/bmw/5-series/bmw_5-series_4947020.html,,170000,4WD,,2004,,349100,,Automatic,Petrol,
,1800,FIAT Croma,2.5,http://rst.ua/oldcars/fiat/croma/fiat_croma_4887294.html,,300000,4WD,,1987,,41900,,Manual,Diesel,
,30999,AUDI Q5,2.0,http://rst.ua/oldcars/audi/q5/audi_q5_5108780.html,,130000,4WD,,2011,,721300,,Automatic,Petrol,
,3200,ВАЗ Нива,1.7,http://rst.ua/oldcars/vaz/niva/vaz_niva_4754043.html,,100000,4WD,,1990,,74500,,Manual,LPG/Petrol,
,1500,ISUZU Piazza,2.0,http://rst.ua/oldcars/isuzu/piazza/isuzu_piazza_5108831.html,,10000,4WD,,1982,,35000,,Automatic,Petrol,
,5700,PEUGEOT Partner,1.6,http://rst.ua/oldcars/peugeot/partner/peugeot_partner_4980564.html,,140000,4WD,,2007,,132700,,Manual,Diesel,
,2990,VOLKSWAGEN Transporter,1.7,http://rst.ua/oldcars/volkswagen/transporter/volkswagen_transporter_5094345.html,,0,4WD,,1988,,69600,,Manual,Diesel,
,3200,ВАЗ Нива,1.6,http://rst.ua/oldcars/vaz/niva/vaz_niva_5112202.html,,45000,4WD,,1982,,74500,,Manual,LPG/Petrol,
,5650,CHEVROLET Aveo,1.5,http://rst.ua/oldcars/chevrolet/aveo/chevrolet_aveo_5060885.html,,90000,4WD,,2006,,131500,,Manual,Petrol,
,2199,ВАЗ 2107,1.5,http://rst.ua/oldcars/vaz/2107/vaz_2107_5010309.html,,52000,4WD,,2005,,51200,,Manual,Petrol,
,9000,MAZDA 6,2.0,http://rst.ua/oldcars/mazda/6/mazda_6_4932049.html,,220000,4WD,,2003,,209500,,Automatic,LPG/Petrol,
,7390,FORD Connect,1.8,http://rst.ua/oldcars/ford/connect/ford_connect_4890655.html,,127000,4WD,,2009,,172000,,Manual,Diesel,
,1500,MAZDA 626,1.8,http://rst.ua/oldcars/mazda/626/mazda_626_4247402.html,,0,4WD,,1986,,35000,,Manual,Petrol,
,12500,OPEL Vivaro,2.0,http://rst.ua/oldcars/opel/vivaro/opel_vivaro_4991310.html,,198000,4WD,,2007,,290900,,Manual,Diesel,
,2290,ВАЗ 2107,1.5,http://rst.ua/oldcars/vaz/2107/vaz_2107_4854961.html,,110000,4WD,,2005,,53300,,Manual,Petrol,
,1150,ЗАЗ Таврия,1.2,http://rst.ua/oldcars/zaz/tavria/zaz_tavria_5129520.html,,143000,4WD,,1989,,26800,,Manual,Petrol,
,1800,ВАЗ 2103,1.6,http://rst.ua/oldcars/vaz/2103/vaz_2103_5130279.html,,15000,4WD,,1976,,41900,,Manual,Petrol,
,4500,OPEL Vivaro,1.9,http://rst.ua/oldcars/opel/vivaro/opel_vivaro_4907964.html,,167000,4WD,,2004,,104800,,Manual,Diesel,
,1850,ЗАЗ Славута,1.2,http://rst.ua/oldcars/zaz/slavuta/zaz_slavuta_4917547.html,,140000,4WD,,2006,,43100,,Manual,Petrol,
,1600,ГАЗ Волга,2.4,http://rst.ua/oldcars/gaz/volga/gaz_volga_5105252.html,,50000,4WD,,1997,,37300,,Manual,LPG/Petrol,
,650,ВАЗ 2101,1.2,http://rst.ua/oldcars/vaz/2101/vaz_2101_5122457.html,,235418,4WD,,1979,,15200,,Manual,Petrol,
,2000,ГАЗ 69,2.1,http://rst.ua/oldcars/gaz/69/gaz_69_5020407.html,,111111,4WD,,1969,,46600,,Automatic,Petrol,
,6000,LEXUS LS,4.0,http://rst.ua/oldcars/lexus/ls/lexus_ls_5044753.html,,0,4WD,,1993,,139700,,Automatic,Petrol,
,7000,CHRYSLER Sebring,2.7,http://rst.ua/oldcars/chrysler/sebring/chrysler_sebring_5113532.html,,122000,4WD,,2005,,162900,,Automatic,Petrol,
,9800,BMW 7-series,3.5,http://rst.ua/oldcars/bmw/7-series/bmw_7-series_3895557.html,,361000,4WD,,2000,,228100,,Automatic,Petrol,
,6500,CHEVROLET Niva,1.7,http://rst.ua/oldcars/chevrolet/niva/chevrolet_niva_5102104.html,,180000,4WD,,2006,,151300,,Manual,Petrol,
,1300,CITROEN AX,1.4,http://rst.ua/oldcars/citroen/ax/citroen_ax_4980026.html,,1000000,4WD,,1987,,30300,,Automatic,Petrol,
,4400,CITROEN Berlingo,1.9,http://rst.ua/oldcars/citroen/berlingo/citroen_berlingo_5003472.html,,172000,4WD,,2005,,102400,,Manual,Diesel,
,12300,VOLKSWAGEN Transporter,2.5,http://rst.ua/oldcars/volkswagen/transporter/volkswagen_transporter_5092597.html,,184000,4WD,,2005,,286200,,Manual,Diesel,
,2700,OPEL Omega,2.0,http://rst.ua/oldcars/opel/omega/opel_omega_5095183.html,,1000000,4WD,,1988,,62900,,Manual,LPG/Petrol,
,5699,БОГДАН 2110,1.6,http://rst.ua/oldcars/bogdan/2110/bogdan_2110_5060333.html,,17000,4WD,,2013,,132600,,Manual,Petrol,
,4200,ВАЗ Калина,1.6,http://rst.ua/oldcars/vaz/kalina/vaz_kalina_4969896.html,,125000,4WD,,2007,,97800,,Manual,LPG/Petrol,
,6900,SKODA Octavia,2.0,http://rst.ua/oldcars/skoda/octavia/skoda_octavia_5110426.html,,188000,4WD,,2004,,160600,,Manual,Petrol,
,3500,ВАЗ 21099,1.5,http://rst.ua/oldcars/vaz/21099/vaz_21099_5107320.html,,128000,4WD,,2007,,81500,,Manual,LPG/Petrol,
,8200,PEUGEOT 307,2.0,http://rst.ua/oldcars/peugeot/307/peugeot_307_3966382.html,,150000,4WD,,2006,,190800,,Automatic,Petrol,
,1000,ВАЗ 2106,1.6,http://rst.ua/oldcars/vaz/2106/vaz_2106_4839537.html,,123454321,4WD,,1978,,23300,,Manual,Petrol,
,7500,PEUGEOT Expert,1.9,http://rst.ua/oldcars/peugeot/expert/peugeot_expert_5065902.html,,230000,4WD,,2006,,174600,,Automatic,Diesel,
,6500,SKODA Fabia,1.4,http://rst.ua/oldcars/skoda/fabia/skoda_fabia_5068587.html,,139000,4WD,,2005,,151300,,Manual,LPG/Petrol,
,10500,MERCEDES Vito,2.2,http://rst.ua/oldcars/mercedes/vito/mercedes_vito_4925465.html,,267000,4WD,,2005,,244400,,Manual,Diesel,
,3000,FORD Escort,1.6,http://rst.ua/oldcars/ford/escort/ford_escort_5108722.html,,60000,4WD,,1989,,69900,,Automatic,Petrol,
,9850,RENAULT Trafic,2.0,http://rst.ua/oldcars/renault/trafic/renault_trafic_5120523.html,,183000,4WD,,2007,,229200,,Manual,Diesel,
,14900,MERCEDES Sprinter,2.2,http://rst.ua/oldcars/mercedes/sprinter/mercedes_sprinter_5120249.html,,1000,4WD,,2008,,346700,,Automatic,Diesel,
,10700,BMW 7-series,3.0,http://rst.ua/oldcars/bmw/7-series/bmw_7-series_5123944.html,,268000,4WD,,2001,,249000,,Automatic,Diesel,
,12100,NISSAN Primastar,2.0,http://rst.ua/oldcars/nissan/primastar/nissan_primastar_4775532.html,,123710,4WD,,2012,,281600,,Manual,Diesel,
,10000,TOYOTA Camry,3.0,http://rst.ua/oldcars/toyota/camry/toyota_camry_5129327.html,,130000,4WD,,2005,,232700,,Automatic,Petrol,
,1000,ВАЗ 2103,1.5,http://rst.ua/oldcars/vaz/2103/vaz_2103_5120946.html,,125754,4WD,,1977,,23300,,Manual,Petrol,
